name,entry_id,formationenergy_id,duplicate_entry_id,icsd_id,prototype,spacegroup,composition_generic,ntypes,natoms,volume_A3,formation_energy_eV_per_atom,stability_eV_per_atom,band_gap_eV,fit,calculation_label,unit_cell_json,sites_json
Sb,18780,4061418,18780.0,108182.0,W,Im-3m,A,1,1,27.1573,0.227598895,0.22761835916666687,0.0,standard,static,"[[1.893544, 1.893544, 1.893544], [1.893544, -1.893544, -1.893544], [-1.893544, 1.893544, -1.893544]]","[""Sb @ 0 0 0""]"
Th,13650,4061421,13650.0,76038.0,W,Im-3m,A,1,1,32.5032,0.14515263,0.14515263,0.0,standard,static,"[[2.010428, 2.010428, 2.010428], [2.010428, -2.010428, -2.010428], [-2.010428, 2.010428, -2.010428]]","[""Th @ 0 0 0""]"
Tm,9316,4061424,9316.0,52526.0,Cu,Fm-3m,A,1,1,29.6251,0.0317803000000003,0.0317803000000003,0.0,standard,static,"[[2.455897, -2.455897, 0.0], [-2.455897, 0.0, -2.455897], [2.455897, 2.455897, 0.0]]","[""Tm @ 0 0 0""]"
H,5499,4061427,5499.0,28340.0,,Fm-3m,A,1,1,2.72968,1.18766227,1.18766227,0.0,standard,static,"[[-1.109245, 1.109245, 0.0], [1.109245, 0.0, -1.109245], [-1.109245, -1.109245, 0.0]]","[""H @ 0 0 0""]"
H,5517,4061430,5517.0,28465.0,,Im-3m,A,1,1,2.73279,1.19774018,1.19774018,0.0,standard,static,"[[0.880742, 0.880742, -0.880742], [0.880742, -0.880742, 0.880742], [-0.880742, -0.880742, -0.880742]]","[""H @ 0 0 0""]"
TcB,21449,4061433,21449.0,168895.0,WC,P-6m2,AB,2,2,21.0997,-0.2825209725,0.10234393170034012,0.0,standard,static,"[[2.881781, 0.0, 0.0], [-1.44089, 2.495747, 0.0], [0.0, 0.0, 2.933687]]","[""B @ 0.667 0.333 0.5"", ""Tc @ 0 0 0""]"
HoAs,8118,4061436,8118.0,43543.0,NaCl,Fm-3m,AB,2,2,48.5046,-1.52807439916667,3.3249999989992673e-05,0.0,standard,static,"[[2.894571, -2.894571, 0.0], [-2.894571, 0.0, -2.894571], [2.894571, 2.894571, 0.0]]","[""As @ 0.5 0 0.5"", ""Ho @ 0 0 0""]"
TcB,21453,4061439,21451.0,168901.0,ZnS(cF8),F-43m,AB,2,2,26.3891,0.7188635225,1.10372842670034,0.0,standard,static,"[[2.363006, -2.363006, 0.0], [-2.363006, 0.0, -2.363006], [2.363006, 2.363006, 0.0]]","[""B @ 0.75 0.5 0.25"", ""Tc @ 0 0 0""]"
HoSe,8122,4061442,8122.0,43547.0,NaCl,Fm-3m,AB,2,2,46.7289,-1.72190709166666,0.011145681250004813,0.0,standard,static,"[[2.85881, -2.85881, 0.0], [-2.85881, 0.0, -2.85881], [2.85881, 2.85881, 0.0]]","[""Ho @ 0 0 0"", ""Se @ 0.5 0 0.5""]"
TlSn,18131,4061445,31087.0,106090.0,AuCu,P4/mmm,AB,2,2,57.4101,0.0232570340743989,0.0380021374999997,0.0,standard,static,"[[3.574863, 0.0, 0.0], [0.0, 3.574863, 0.0], [0.0, 0.0, 4.492305]]","[""Sn @ 0.5 0.5 0.5"", ""Tl @ 0 0 0""]"
LuPd,17621,4061448,17621.0,104813.0,CsCl,Pm-3m,AB,2,2,40.1355,-0.9718324175,0.0005692800000000053,0.0,standard,static,"[[3.42381, 0.0, 0.0], [0.0, 3.42381, 0.0], [0.0, 0.0, 3.42381]]","[""Lu @ 0 0 0"", ""Pd @ 0.5 0.5 0.5""]"
YbRh,18903,4061451,18903.0,108726.0,CsCl,Pm-3m,AB,2,2,37.1874,-0.536498425,0.005161432500000007,0.0,standard,static,"[[3.337839, 0.0, 0.0], [0.0, 3.337839, 0.0], [0.0, 0.0, 3.337839]]","[""Rh @ 0 0 0"", ""Yb @ 0.5 0.5 0.5""]"
YbRu,18904,4061454,18904.0,108728.0,CsCl,Pm-3m,AB,2,2,37.0972,0.302793785,0.3646894524999996,0.0,standard,static,"[[3.335137, 0.0, 0.0], [0.0, 3.335137, 0.0], [0.0, 0.0, 3.335137]]","[""Ru @ 0 0 0"", ""Yb @ 0.5 0.5 0.5""]"
LuRh,17625,4061457,17625.0,104821.0,CsCl,Pm-3m,AB,2,2,37.3813,-1.0133319725,0.00045345999999968356,0.0,standard,static,"[[3.343628, 0.0, 0.0], [0.0, 3.343628, 0.0], [0.0, 0.0, 3.343628]]","[""Lu @ 0 0 0"", ""Rh @ 0.5 0.5 0.5""]"
AgI,20443,4061460,20443.0,161582.0,CsCl,Pm-3m,AB,2,2,56.3668,0.0174154250358414,0.38847064666666664,0.182,standard,static,"[[3.834197, 0.0, 0.0], [0.0, 3.834197, 0.0], [0.0, 0.0, 3.834197]]","[""Ag @ 0 0 0"", ""I @ 0.5 0.5 0.5""]"
LuRu,17627,4061463,17627.0,104824.0,CsCl,Pm-3m,AB,2,2,36.7729,-0.450736697499999,0.00013830999999997484,0.0,standard,static,"[[3.32539, 0.0, 0.0], [0.0, 3.32539, 0.0], [0.0, 0.0, 3.32539]]","[""Lu @ 0 0 0"", ""Ru @ 0.5 0.5 0.5""]"
SrTl,18140,4061466,18140.0,106110.0,CsCl,Pm-3m,AB,2,2,66.9283,-0.4279577375,0.003409326249999789,0.0,standard,static,"[[4.060099, 0.0, 0.0], [0.0, 4.060099, 0.0], [0.0, 0.0, 4.060099]]","[""Sr @ 0 0 0"", ""Tl @ 0.5 0.5 0.5""]"
Gd,8139,4061469,117572.0,43579.0,Mg,P63/mmc,A,1,2,65.0286,0.0170584924999995,0.0170584924999995,0.0,standard,static,"[[3.620265, 0.0, 0.0], [-1.810133, 3.135158, 0.0], [0.0, 0.0, 5.729343]]","[""Gd @ 0.333 0.667 0.25"", ""Gd @ 0.667 0.333 0.75""]"
LuZn,17629,4061472,17629.0,104830.0,CsCl,Pm-3m,AB,2,2,42.2691,-0.3552263975,0.00051768499999999,0.0,standard,static,"[[3.483436, 0.0, 0.0], [0.0, 3.483436, 0.0], [0.0, 0.0, 3.483436]]","[""Lu @ 0 0 0"", ""Zn @ 0.5 0.5 0.5""]"
NdMg,17630,4061475,90141.0,104833.0,CsCl,Pm-3m,AB,2,2,58.4562,-0.114858377083335,8.959999999999524e-05,0.0,standard,static,"[[3.881, 0.0, 0.0], [0.0, 3.881, 0.0], [0.0, 0.0, 3.881]]","[""Mg @ 0 0 0"", ""Nd @ 0.5 0.5 0.5""]"
Ho,8141,4061478,88554.0,43582.0,Mg,P63/mmc,A,1,2,62.0836,0.0029490916666699,0.0029490916666699,0.0,standard,static,"[[3.585814, 0.0, 0.0], [-1.792907, 3.105275, 0.0], [0.0, 0.0, 5.57557]]","[""Ho @ 0.333 0.667 0.25"", ""Ho @ 0.667 0.333 0.75""]"
TiFe,19423,4061481,19423.0,150938.0,CsCl,Pm-3m,AB,2,2,25.5024,-0.449192511893131,0.0013548600000006794,0.0,standard,static,"[[2.943475, 0.0, 0.0], [0.0, 2.943475, 0.0], [0.0, 0.0, 2.943475]]","[""Fe @ 0.5 0.5 0.5"", ""Ti @ 0 0 0""]"
ScN,22242,4061484,22242.0,180830.0,CsCl,Pm-3m,AB,2,2,21.3903,-0.988540790171752,1.032536239999998,0.0,standard,static,"[[2.775911, 0.0, 0.0], [0.0, 2.775911, 0.0], [0.0, 0.0, 2.775911]]","[""N @ 0.5 0.5 0.5"", ""Sc @ 0 0 0""]"
NaH,6318,4061487,642654.0,33670.0,NaCl,Fm-3m,AB,2,2,25.9712,-0.246102806517912,0.0025515449999999884,4.09,standard,static,"[[2.350465, -2.350465, 0.0], [-2.350465, 0.0, -2.350465], [2.350465, 2.350465, 0.0]]","[""H @ 0.5 0 0.5"", ""Na @ 0 0 0""]"
Tb,17349,4061490,17349.0,104192.0,Mg,P63/mmc,A,1,2,64.4323,0.0122589566666695,0.0122589566666695,0.0,standard,static,"[[3.617919, 0.0, 0.0], [-1.808959, 3.133087, 0.0], [0.0, 0.0, 5.684243]]","[""Tb @ 0.333 0.667 0.25"", ""Tb @ 0.667 0.333 0.75""]"
PrZn,18896,4061493,18895.0,108707.0,HgMn,P4/mmm,AB,2,2,50.5508,-0.31002471375,0.0010678399999999866,0.0,standard,static,"[[3.68524, 0.0, 0.0], [0.0, 3.68524, 0.0], [0.0, 0.0, 3.722176]]","[""Pr @ 0 0 0"", ""Zn @ 0.5 0.5 0.5""]"
YbSn,18136,4061496,31091.0,106104.0,AuCu,P4/mmm,AB,2,2,53.8951,-0.720321378425601,3.414500000009646e-05,0.0,standard,static,"[[3.452339, 0.0, 0.0], [0.0, 3.452339, 0.0], [0.0, 0.0, 4.521919]]","[""Sn @ 0 0 0"", ""Yb @ 0.5 0.5 0.5""]"
NbRh,30785,4061499,30785.0,645280.0,CuFePt2,P4/mmm,AB,2,2,31.7465,-0.410521275000001,0.0005884449999996599,0.0,standard,static,"[[-2.029081, -2.029081, 0.0], [-2.029081, 2.029081, 0.0], [0.0, 0.0, -3.855376]]","[""Nb @ 0 0 0"", ""Rh @ 0.5 0.5 0.5""]"
VOs,19422,4061502,19422.0,150935.0,CsCl,Pm-3m,AB,2,2,27.2522,-0.226330055,0.040700208749999495,0.0,standard,static,"[[3.00931, 0.0, 0.0], [0.0, 3.00931, 0.0], [0.0, 0.0, 3.00931]]","[""Os @ 0.5 0.5 0.5"", ""V @ 0 0 0""]"
Er,8142,4061505,51743.0,43583.0,Mg,P63/mmc,A,1,2,60.8759,9.97100000006412e-05,9.97100000006412e-05,0.0,standard,static,"[[3.561921, 0.0, 0.0], [-1.78096, 3.084614, 0.0], [0.0, 0.0, 5.540648]]","[""Er @ 0.333 0.667 0.25"", ""Er @ 0.667 0.333 0.75""]"
ScP,22243,4061508,100272.0,180832.0,CsCl,Pm-3m,AB,2,2,35.1253,-1.05654787697997,0.562526055,0.0,standard,static,"[[3.274966, 0.0, 0.0], [0.0, 3.274966, 0.0], [0.0, 0.0, 3.274966]]","[""P @ 0.5 0.5 0.5"", ""Sc @ 0 0 0""]"
LiBi,28740,4061511,28740.0,616780.0,CuFePt2,P4/mmm,AB,2,2,47.194,-0.3876001425,0.0,0.0,standard,static,"[[-2.382306, -2.382306, 0.0], [-2.382306, 2.382306, 0.0], [0.0, 0.0, -4.15778]]","[""Bi @ 0 0 0"", ""Li @ 0.5 0.5 0.5""]"
CdAu,10705,4061514,94922.0,58410.0,CsCl,Pm-3m,AB,2,2,38.3287,-0.17990844,0.00543921,0.0,standard,static,"[[3.37164, 0.0, 0.0], [0.0, 3.37164, 0.0], [0.0, 0.0, 3.37164]]","[""Au @ 0 0 0"", ""Cd @ 0.5 0.5 0.5""]"
TaTc,18145,4061517,18145.0,106117.0,CsCl,Pm-3m,AB,2,2,32.2914,-0.501043217499999,2.9919999999794555e-05,0.0,standard,static,"[[3.184409, 0.0, 0.0], [0.0, 3.184409, 0.0], [0.0, 0.0, 3.184409]]","[""Ta @ 0 0 0"", ""Tc @ 0.5 0.5 0.5""]"
TiAl,27974,4061520,18721.0,609534.0,CuFePt2,P4/mmm,AB,2,2,32.2471,-0.435995316893132,0.0001479100000002509,0.0,standard,static,"[[1.993062, -1.993062, 0.0], [-1.993062, -1.993062, 0.0], [0.0, 0.0, -4.058998]]","[""Al @ 0.5 0.5 0.5"", ""Ti @ 0 0 0""]"
Lu,8145,4061523,109831.0,43586.0,Mg,P63/mmc,A,1,2,57.8138,0.00138838000000074,0.00138838000000074,0.0,standard,static,"[[3.491774, 0.0, 0.0], [-1.745887, 3.023894, 0.0], [0.0, 0.0, 5.475441]]","[""Lu @ 0.333 0.667 0.25"", ""Lu @ 0.667 0.333 0.75""]"
HfOs,17380,4061526,17380.0,104252.0,CsCl,Pm-3m,AB,2,2,34.3291,-0.7081181225,0.0006704699999990904,0.0,standard,static,"[[3.25003, 0.0, 0.0], [0.0, 3.25003, 0.0], [0.0, 0.0, 3.25003]]","[""Hf @ 0 0 0"", ""Os @ 0.5 0.5 0.5""]"
TbTl,18148,4061529,18148.0,106129.0,CsCl,Pm-3m,AB,2,2,54.1523,-0.0232279698333349,0.026587412583332522,0.0,standard,static,"[[3.783314, 0.0, 0.0], [0.0, 3.783314, 0.0], [0.0, 0.0, 3.783314]]","[""Tb @ 0 0 0"", ""Tl @ 0.5 0.5 0.5""]"
